ticker,shares_outstanding,currency,sector,company,market_cap_info,pe_forward,dividend_yield,beta
ENB,2184085509.0,CAD,Energy,Enbridge Inc.,164002971648.0,23.290941,5.09,0.794
EDR,296144479.0,USD,Materials,Endeavour Silver Corp.,3470813440.0,6.908341,,2.367
EFR,249919146.0,USD,Energy,Energy Fuels Inc.,4526035968.0,38.614075,,1.573
EQB,35434112.0,CAD,Financials,EQB Inc.,4952979968.0,11.580376,1.63,1.313
EFX,122066954.0,USD,Industrials,Equifax Inc.,3825578240.0,11.265277,0.54,2.076
EQX,789157839.0,USD,Materials,Equinox Gold Corp.,10653630464.0,6.1774287,0.33,2.4
ERO,104277968.0,USD,Materials,Ero Copper Corp.,4256626688.0,6.1413655,,1.586
EIF,,CAD,Industrials,Exchange Income Corporation,,24.824339,2.2,0.919
FFH,19221125.0,USD,Financials,Fairfax Financial Holdings Limited,49992736768.0,10.370505,0.88,0.449
FTT,130564565.0,CAD,Industrials,Finning International Inc.,13023815680.0,18.6302,1.33,1.347
FCR.UN,212554778.0,CAD,Real Estate,First Capital Real Estate Investment Trust,4869629952.0,16.97037,3.95,0.887
AG,492906383.0,USD,Materials,First Majestic Silver Corp.,11445285888.0,16.271898,0.41,2.108
FSV,43922540.0,USD,Real Estate,FirstService Corporation,8737510400.0,21.26174,0.88,0.908
FM,834206136.0,USD,Materials,First Quantum Minerals Ltd.,35136761856.0,15.048641,,1.998
FTS,510900000.0,CAD,Utilities,Fortis Inc.,40672747520.0,20.540752,3.21,0.427
FVI,302957387.0,USD,Materials,Fortuna Mining Corp.,3856647168.0,5.475853,,2.12
FRU,163960334.0,CAD,Energy,Freehold Royalties Ltd.,2803721728.0,21.78344,6.31,0.781
FNV,192855530.0,USD,Materials,Franco-Nevada Corporation,59353223168.0,23.823057,0.84,0.909
GMIN,296042923.0,USD,Materials,G Mining Ventures Corp.,13588370432.0,18.624996,,0.847
GEI,172600000.0,CAD,Energy,Gibson Energy Inc.,5424818176.0,20.29824,5.55,0.602
GFL,349077362.0,CAD,Industrials,GFL Environmental Inc.,21375535104.0,47.331367,0.17,0.492
WN,377043624.0,CAD,Consumer Staples,George Weston Limited,38922215424.0,18.952866,1.23,0.508
GIL,185191848.0,USD,Consumer Discretionary,Gildan Activewear Inc.,14776457216.0,10.344775,1.81,1.11
GRT.UN,,CAD,Real Estate,Granite Real Estate Investment Trust,,13.939759,3.69,
GSY,16033683.0,CAD,Financials,goeasy Ltd.,781321344.0,9.311471,17.95,1.301
HR.UN,264567258.0,CAD,Real Estate,H&R Real Estate Investment Trust,3088498176.0,8.895161,5.44,1.09
GWO,895200000.0,CAD,Financials,Great-West Lifeco Inc.,83513204736.0,14.6819515,2.88,0.69
HBM,444144760.0,USD,Materials,Hudbay Minerals Inc.,15451796480.0,12.780256,0.13,2.265
HWX,237762877.0,CAD,Energy,Headwater Exploration Inc.,3081406976.0,22.539131,3.62,1.033
H,600096020.0,CAD,Utilities,Hydro One Limited,34793566208.0,24.293566,2.42,0.403
IAU,862051146.0,USD,Materials,I-80 Gold Corp.,1706861312.0,10.091777,,2.041
IAG,,CAD,Financials,iA Financial Corporation Inc.,,13.433848,1.96,0.715
IMG,578000000.0,USD,Materials,Iamgold Corporation,12051300352.0,6.4514666,,2.255
IMO,483592715.0,CAD,Energy,Imperial Oil Limited,86833905664.0,15.285565,1.91,0.817
IGM,230888705.0,CAD,Financials,IGM Financial Inc.,20994709504.0,14.9643545,2.85,1.117
IFC,176349221.0,CAD,Financials,Intact Financial Corporation,49935044608.0,15.133126,2.14,0.291
IPCO,112826752.0,USD,Energy,International Petroleum Corporation,3420907008.0,10.448276,,0.898
IVN,1426373110.0,USD,Materials,Ivanhoe Mines Ltd.,15447620608.0,17.932138,,1.819
IIP.UN,139856082.0,CAD,Real Estate,InterRent Real Estate Investment Trust,1922908160.0,19.911764,0.0293,0.891
JWEL,41481951.0,CAD,Consumer Staples,Jamieson Wellness Inc.,1723575040.0,16.575644,2.22,0.928
KNT,245120724.0,USD,Materials,K92 Mining Inc.,5956433408.0,6.7587676,,1.302
KEL,202198000.0,CAD,Energy,Kelt Exploration Ltd.,1949188736.0,10.365592,,0.325
KEY,,CAD,Energy,Keyera Corp.,,19.301394,3.63,0.824
KMP.UN,122126262.0,CAD,Real Estate,Killam Apartment Real Estate Investment Trust,2316380672.0,14.379845,3.87,0.944
K,1186240789.0,USD,Materials,Kinross Gold Corporation,39359467520.0,7.805746,0.7,1.413
KXS,27320045.0,USD,Information Technology,Kinaxis Inc.,4773085184.0,24.006376,,0.741
LIF,64000000.0,CAD,Materials,Labrador Iron Ore Royalty Corporation,1728000000.0,13.012048,5.05,0.83
LNR,59213688.0,CAD,Consumer Discretionary,Linamar Corporation,6257110528.0,8.000309,1.12,1.324
LB,44793140.0,CAD,Financials,Laurentian Bank of Canada,1804715648.0,13.869191,4.67,1.179
LSPD,129299592.0,USD,Information Technology,Lightspeed Commerce Inc.,1895532032.0,11.399294,,1.797
LAC,351062478.0,USD,Materials,Lithium Americas Corp.,1520100480.0,-20.83984,,3.454
L,1163888224.0,CAD,Consumer Staples,Loblaw Companies Limited,76013535232.0,22.806955,0.94,0.382
LUG,241832730.0,USD,Materials,Lundin Gold Inc.,19733551104.0,13.346876,7.02,1.467
LUN,,USD,Materials,Lundin Mining Corporation,,18.429453,0.32,2.111
